Date,SPY,TLT,GLD,DBMF
2008-01-30,96.09269,53.552872,92.059998,19.927477
2008-01-31,97.844902,53.933289,91.400002,19.912803
2008-02-01,99.419022,54.25745,89.349998,19.810129
2008-02-04,98.165405,53.699139,89.099998,19.890802
2008-02-05,95.53714,54.109352,87.68,19.8468
2008-02-06,94.767876,53.944084,88.949997,19.810129
2008-02-07,95.394646,52.781811,89.849998,19.758789
2008-02-08,94.782135,53.385773,91.0,19.964146
2008-02-11,95.266479,53.608006,91.330002,20.022825
2008-02-12,96.149712,53.288883,89.330002,19.90547
2008-02-13,97.132614,52.724819,89.440002,19.890802
2008-02-14,96.277878,51.949978,89.709999,20.08883
2008-02-15,96.256554,52.348843,89.150002,20.08883
2008-02-19,96.527214,51.818962,91.580002,20.279523
2008-02-20,96.81208,52.177906,93.239998,20.264859
2008-02-21,96.007248,52.730522,93.25,20.294191
2008-02-22,96.598419,52.428581,93.389999,20.389541
2008-02-25,97.816399,51.893024,92.739998,20.470216
2008-02-26,98.550018,51.910084,93.709999,20.62424
2008-02-27,98.45034,51.955624,94.779999,20.61691
2008-02-28,97.488731,52.878693,95.989998,20.829604
2008-02-29,95.316338,53.687737,96.18,20.873608
2008-03-03,95.088379,53.549347,97.239998,20.976293
2008-03-04,94.725151,53.028961,95.18,20.814936
2008-03-05,95.323433,52.394203,97.720001,21.0423
2008-03-06,93.350456,52.674381,96.5,21.005627
2008-03-07,92.388908,52.742985,96.089996,20.917614
2008-03-10,91.170898,53.520737,95.870003,21.034971
2008-03-11,94.447342,53.063225,95.989998,21.034971
2008-03-12,93.564156,54.086895,97.010002,21.22566
2008-03-13,93.770691,53.663715,98.339996,21.328341
2008-03-14,92.317665,54.327068,98.709999,21.321004
2008-03-17,91.384583,54.74453,99.169998,20.990957
2008-03-18,95.180992,54.532936,96.5,21.093641
2008-03-19,92.823364,55.436466,93.040001,20.675582
2008-03-20,94.542694,55.573727,89.910004,20.448217
2008-03-24,96.432426,54.498627,90.099998,20.448217
2008-03-25,96.525513,54.727398,92.730003,20.675582
2008-03-26,95.344398,54.498627,93.800003,20.939617
2008-03-27,95.043793,54.115498,93.459999,20.976293
2008-03-28,94.134735,54.641602,91.879997,20.888276
2008-03-31,94.463959,54.836033,90.410004,20.726921
2008-04-01,97.785294,53.943562,86.860001,20.543561
2008-04-02,97.849724,54.058426,89.269997,20.748924
2008-04-03,98.093094,54.179001,89.419998,20.682915
2008-04-04,97.985733,54.672909,90.25,20.829604
2008-04-07,98.035812,54.385777,91.169998,20.866275
2008-04-08,97.935631,54.196274,90.349998,20.822267
2008-04-09,97.227005,54.759094,92.290001,21.086306
2008-04-10,97.362968,54.575294,91.769997,21.027632
2008-04-11,95.473251,54.942886,91.300003,21.020297
2008-04-14,95.151131,54.621239,91.110001,21.056968
2008-04-15,95.373039,53.943562,91.660004,21.093641
2008-04-16,97.957115,53.415237,93.269997,21.188987
2008-04-17,98.100258,53.323334,92.559998,21.093641
2008-04-18,99.123833,53.27739,90.620003,21.056968
2008-04-21,99.173943,53.489861,90.25,21.071634
2008-04-22,98.737274,53.673611,90.269997,21.188987
2008-04-23,98.579811,53.495644,89.220001,21.086306
2008-04-24,99.009346,53.04192,87.220001,20.910283
2008-04-25,99.925545,52.731812,87.269997,20.932282
2008-04-28,99.947021,52.892582,87.690002,20.998294
2008-04-29,99.553307,53.09362,85.809998,20.836939
